timestamp,model,condition,question_id,grade,input_tokens,output_tokens,cost_usd,latency_s
2026-04-27T00:58:28.009660+00:00,llama-3.3-70b-versatile,cold,R12C-CS-01,MISS,96,106,0.00014,0.619
2026-04-27T00:58:28.733000+00:00,llama-3.3-70b-versatile,cold,R12C-CS-02,HIT,94,105,0.000138,0.549
2026-04-27T00:58:29.420211+00:00,llama-3.3-70b-versatile,cold,R12C-CS-03,HIT,95,80,0.000119,0.509
2026-04-27T00:58:30.247560+00:00,llama-3.3-70b-versatile,cold,R12C-CS-04,HIT,90,90,0.000124,0.594
2026-04-27T00:58:31.073560+00:00,llama-3.3-70b-versatile,cold,R12C-CS-05,MISS,85,99,0.000128,0.589
2026-04-27T00:58:31.852021+00:00,llama-3.3-70b-versatile,cold,R12C-CS-06,MISS,92,68,0.000108,0.547
2026-04-27T00:58:32.483283+00:00,llama-3.3-70b-versatile,cold,R12C-CS-07,MISS,101,64,0.00011,0.392
2026-04-27T00:58:33.444226+00:00,llama-3.3-70b-versatile,cold,R12C-CS-08,HIT,91,99,0.000132,0.724
2026-04-27T00:58:34.291740+00:00,llama-3.3-70b-versatile,cold,R12C-CS-09,MISS,101,112,0.000148,0.609
2026-04-27T00:58:35.121845+00:00,llama-3.3-70b-versatile,cold,R12C-AM-01,MISS,88,61,0.0001,0.591
2026-04-27T00:58:37.364882+00:00,llama-3.3-70b-versatile,cold,R12C-AM-02,MISS,103,405,0.000381,2.033
2026-04-27T00:58:38.706251+00:00,llama-3.3-70b-versatile,cold,R12C-AM-03,MISS,94,241,0.000246,1.106
2026-04-27T00:58:39.455017+00:00,llama-3.3-70b-versatile,cold,R12C-AM-04,MISS,96,88,0.000126,0.515
2026-04-27T00:58:40.226799+00:00,llama-3.3-70b-versatile,cold,R12C-AM-05,HIT,94,108,0.000141,0.533
2026-04-27T00:58:41.087085+00:00,llama-3.3-70b-versatile,cold,R12C-AM-06,MISS,96,115,0.000147,0.626
2026-04-27T00:58:41.874959+00:00,llama-3.3-70b-versatile,cold,R12C-AM-07,MISS,94,87,0.000124,0.553
2026-04-27T00:58:42.785349+00:00,llama-3.3-70b-versatile,cold,R12C-AM-08,MISS,99,121,0.000154,0.699
2026-04-27T00:58:43.926678+00:00,llama-3.3-70b-versatile,cold,R12C-EG-01,MISS,87,172,0.000187,0.906
2026-04-27T00:58:44.758567+00:00,llama-3.3-70b-versatile,cold,R12C-EG-02,MISS,89,109,0.000139,0.615
2026-04-27T00:58:45.677975+00:00,llama-3.3-70b-versatile,cold,R12C-EG-03,MISS,99,120,0.000153,0.711
2026-04-27T00:58:46.272378+00:00,llama-3.3-70b-versatile,cold,R12C-EG-04,MISS,96,95,0.000132,0.355
2026-04-27T00:58:47.097306+00:00,llama-3.3-70b-versatile,cold,R12C-EG-05,MISS,97,108,0.000143,0.582
2026-04-27T00:58:47.833431+00:00,llama-3.3-70b-versatile,cold,R12C-EG-06,MISS,93,121,0.00015,0.519
2026-04-27T00:58:48.600133+00:00,llama-3.3-70b-versatile,cold,R12C-EG-07,MISS,95,96,0.000132,0.574
2026-04-27T00:58:49.652576+00:00,llama-3.3-70b-versatile,cold,R12C-EG-08,MISS,102,133,0.000165,0.857
2026-04-27T00:58:50.462603+00:00,llama-3.3-70b-versatile,cold,R12C-EG-09,HIT,94,111,0.000143,0.598
2026-04-27T00:58:51.360946+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-01,MISS,105,120,0.000157,0.686
2026-04-27T00:58:51.997596+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-02,MISS,94,72,0.000112,0.417
2026-04-27T00:58:53.506690+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-03,MISS,93,92,0.000128,1.308
2026-04-27T00:58:54.326669+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-04,MISS,103,105,0.000144,0.579
2026-04-27T00:58:55.086761+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-05,HIT,96,117,0.000149,0.558
2026-04-27T00:58:57.901580+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-06,MISS,90,101,0.000133,2.63
2026-04-27T00:59:00.877703+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-07,MISS,101,114,0.00015,2.777
2026-04-27T00:59:03.772939+00:00,llama-3.3-70b-versatile,cold,R12C-MJ-08,MISS,103,98,0.000138,2.697
2026-04-27T00:59:06.748641+00:00,llama-3.3-70b-versatile,cold,R12C-RC-01,HIT,104,104,0.000144,2.746
2026-04-27T00:59:09.509833+00:00,llama-3.3-70b-versatile,cold,R12C-RC-02,MISS,98,44,9.3e-05,2.573
2026-04-27T00:59:12.752068+00:00,llama-3.3-70b-versatile,cold,R12C-RC-03,MISS,94,159,0.000181,3.026
2026-04-27T00:59:15.383448+00:00,llama-3.3-70b-versatile,cold,R12C-RC-04,MISS,98,42,9.1e-05,2.454
2026-04-27T00:59:18.099828+00:00,llama-3.3-70b-versatile,cold,R12C-RC-05,MISS,96,100,0.000136,2.53
2026-04-27T00:59:21.322547+00:00,llama-3.3-70b-versatile,cold,R12C-RC-06,MISS,103,125,0.00016,3.027
2026-04-27T00:59:24.131271+00:00,llama-3.3-70b-versatile,cold,R12C-RC-07,MISS,103,90,0.000132,2.621
2026-04-27T00:59:26.824345+00:00,llama-3.3-70b-versatile,cold,R12C-RC-08,MISS,98,31,8.2e-05,2.508
2026-04-27T00:59:29.797778+00:00,llama-3.3-70b-versatile,cold,R12C-HP-01,MISS,98,82,0.000123,2.788
2026-04-27T00:59:32.510733+00:00,llama-3.3-70b-versatile,cold,R12C-HP-02,MISS,93,86,0.000123,2.524
2026-04-27T00:59:35.389501+00:00,llama-3.3-70b-versatile,cold,R12C-HP-03,MISS,91,29,7.7e-05,2.691
2026-04-27T00:59:38.074474+00:00,llama-3.3-70b-versatile,cold,R12C-HP-04,MISS,94,76,0.000116,2.503
2026-04-27T00:59:40.929959+00:00,llama-3.3-70b-versatile,cold,R12C-HP-05,MISS,93,65,0.000106,2.667
2026-04-27T00:59:43.706396+00:00,llama-3.3-70b-versatile,cold,R12C-HP-06,MISS,91,81,0.000118,2.602
2026-04-27T00:59:46.508557+00:00,llama-3.3-70b-versatile,cold,R12C-HP-07,MISS,93,80,0.000118,2.618
2026-04-27T00:59:49.078878+00:00,llama-3.3-70b-versatile,cold,R12C-HP-08,MISS,99,55,0.000102,2.378
2026-04-27T01:00:08.055734+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-01,HOT,11743,43,0.006962,6.75
2026-04-27T01:00:36.303207+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-02,error,0,0,0.0,0.0
2026-04-27T01:01:04.625420+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-03,error,0,0,0.0,0.0
2026-04-27T01:01:33.228840+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-04,error,0,0,0.0,0.0
2026-04-27T01:02:01.526361+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-05,error,0,0,0.0,0.0
2026-04-27T01:12:59.977917+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-06,error,0,0,0.0,0.0
2026-04-27T01:22:32.233005+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-07,error,0,0,0.0,0.0
2026-04-27T01:32:05.327041+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-08,error,0,0,0.0,0.0
2026-04-27T01:41:38.128104+00:00,llama-3.3-70b-versatile,cathedral,R12C-CS-09,error,0,0,0.0,0.0
