qid,category,grade,cost_usd,latency_s,input_tokens,output_tokens
Q001,canonical_statistics,HOT,0.013881,1.948,13591,58
Q002,canonical_statistics,HOT,0.013913,1.689,13588,65
Q003,canonical_statistics,HOT,0.014035,3.387,13590,89
Q004,canonical_statistics,HOT,0.013849,1.885,13434,83
Q005,canonical_statistics,HOT,0.011161,2.316,10716,89
Q006,canonical_statistics,HOT,0.014669,1.491,14329,68
Q007,canonical_statistics,HOT,0.014651,1.824,14326,65
Q008,canonical_statistics,HOT,0.014767,1.720,14327,88
Q009,canonical_statistics,HOT,0.014789,2.947,14324,93
Q010,architecture_mechanics,HOT,0.014041,3.456,13596,89
Q011,architecture_mechanics,HOT,0.014192,2.636,13602,118
Q012,architecture_mechanics,HOT,0.014705,2.036,14185,104
Q013,architecture_mechanics,HOT,0.014995,3.039,14580,83
Q014,architecture_mechanics,HOT,0.014899,2.407,14319,116
Q015,architecture_mechanics,HOT,0.014761,5.035,14326,87
Q016,architecture_mechanics,HOT,0.014218,2.298,13603,123
Q017,architecture_mechanics,HOT,0.014692,2.237,14332,72
Q018,economic_governance,HOT,0.014669,2.669,14194,95
Q019,economic_governance,HOT,0.014058,3.509,13593,93
Q020,economic_governance,MISS,0.014933,2.625,14333,120
Q021,economic_governance,HOT,0.014241,2.393,13656,117
Q022,economic_governance,HOT,0.014889,3.362,14324,113
Q023,economic_governance,HOT,0.014798,1.721,14338,92
Q024,economic_governance,HOT,0.014293,2.301,13608,137
Q025,economic_governance,HOT,0.014102,3.860,13592,102
Q026,economic_governance,HOT,0.014850,3.455,14320,106
Q027,member_journey,HOT,0.014662,1.705,14327,67
Q028,member_journey,HOT,0.014626,1.463,14326,60
Q029,member_journey,HOT,0.013984,2.559,13609,75
Q030,member_journey,HOT,0.014858,2.656,14333,105
Q031,member_journey,HIT,0.014296,3.242,13606,138
Q032,member_journey,HIT,0.014809,1.846,14329,96
Q033,member_journey,HOT,0.014945,2.645,14190,151
Q034,member_journey,HOT,0.014127,3.932,13602,105
Q035,regulatory_compliance,HOT,0.014719,2.145,14329,78
Q036,regulatory_compliance,HOT,0.014051,2.141,13601,90
Q037,regulatory_compliance,HOT,0.014174,2.301,13589,117
Q038,regulatory_compliance,HOT,0.014756,2.060,14331,85
Q039,regulatory_compliance,HOT,0.014147,2.305,13587,112
Q040,regulatory_compliance,HOT,0.014848,2.470,14323,105
Q041,regulatory_compliance,HOT,0.014881,2.486,14326,111
Q042,regulatory_compliance,HOT,0.014049,3.303,13599,90
Q043,historical_precedent,HOT,0.014332,4.153,13592,148
Q044,historical_precedent,HOT,0.014734,2.210,14324,82
Q045,historical_precedent,HOT,0.015263,3.996,14323,188
Q046,historical_precedent,HOT,0.014059,2.115,13594,93
Q047,historical_precedent,HOT,0.014597,3.662,13602,199
Q048,historical_precedent,HOT,0.014459,3.065,13594,173
Q049,historical_precedent,HOT,0.014066,2.131,13601,93
Q050,historical_precedent,HOT,0.014025,2.661,13595,86
